boundary,a_fm,sigma,segment,n_samples,method,wavelength_mc,amplitude_q,amplitude_std_q,edge_sensitive,status
PBC,0.0560,2,0,400,peak_spacing,37.5,2.59158,1.095,no,ok
PBC,0.0560,2,0,400,fft,77.6,,,no,ok
PBC,0.0560,2,1,400,peak_spacing,26.5,2.16253,0.914185,no,ok
PBC,0.0560,2,1,400,fft,97,,,no,ok
PBC,0.0560,4,0,400,peak_spacing,45,1.78014,0.895308,no,ok
PBC,0.0560,4,0,400,fft,75.2,,,no,ok
PBC,0.0560,4,1,400,peak_spacing,61,1.7896,0.734564,no,ok
PBC,0.0560,4,1,400,fft,125.333,,,no,ok
PBC,0.0560,6,0,400,peak_spacing,84,1.83074,0.670735,no,ok
PBC,0.0560,6,0,400,fft,72.8,,,no,ok
PBC,0.0560,6,1,400,peak_spacing,86,1.49652,0.668638,no,ok
PBC,0.0560,6,1,400,fft,121.333,,,no,ok
PBC,0.0560,8,0,400,peak_spacing,85.5,1.37013,0.645005,no,ok
PBC,0.0560,8,0,400,fft,70.4,,,no,ok
PBC,0.0560,8,1,400,peak_spacing,96,1.51087,0.495283,no,ok
PBC,0.0560,8,1,400,fft,117.333,,,no,ok
PBC,0.0560,10,0,400,peak_spacing,139,1.35163,0.525875,no,ok
PBC,0.0560,10,0,400,fft,113.333,,,no,ok
PBC,0.0560,10,1,400,peak_spacing,95,1.27382,0.488261,no,ok
PBC,0.0560,10,1,400,fft,113.333,,,no,ok
PBC,0.0560,12,0,400,peak_spacing,136,1.0809,0.40232,no,ok
PBC,0.0560,12,0,400,fft,109.333,,,no,ok
PBC,0.0560,12,1,400,peak_spacing,97,1.04785,0.458175,no,ok
PBC,0.0560,12,1,400,fft,109.333,,,no,ok
PBC,0.0560,15,0,400,peak_spacing,128,0.788091,0.303114,no,ok
PBC,0.0560,15,0,400,fft,103.333,,,no,ok
PBC,0.0560,15,1,400,peak_spacing,101,0.753214,0.395372,yes,ok
PBC,0.0560,15,1,400,fft,103.333,,,no,ok
PBC,0.0560,20,0,400,peak_spacing,114,0.503506,0.275632,no,ok
PBC,0.0560,20,0,400,fft,140,,,no,ok
PBC,0.0560,20,1,400,peak_spacing,111,0.569057,0.0366117,no,ok
PBC,0.0560,20,1,400,fft,140,,,no,ok
PBC,0.0560,25,0,400,peak_spacing,281,0.59367,0.00900661,yes,too_few_cycles
PBC,0.0560,25,0,400,fft,125,,,no,ok
PBC,0.0560,25,1,400,peak_spacing,110,0.273403,0.00721404,no,ok
PBC,0.0560,25,1,400,fft,125,,,no,ok
PBC,0.0560,30,0,400,peak_spacing,,,,,no_estimate
PBC,0.0560,30,0,400,fft,110,,,no,ok
PBC,0.0560,30,1,400,peak_spacing,106,0.106769,0.00111703,no,ok
PBC,0.0560,30,1,400,fft,110,,,no,ok
PBC,0.0560,35,0,400,peak_spacing,,,,,no_estimate
PBC,0.0560,35,0,400,fft,95,,,no,lambda_too_close_to_sigma
PBC,0.0560,35,1,400,peak_spacing,,,,,no_estimate
PBC,0.0560,35,1,400,fft,95,,,no,lambda_too_close_to_sigma
PBC,0.0560,40,0,400,peak_spacing,,,,,no_estimate
PBC,0.0560,40,0,400,fft,160,,,no,too_few_cycles
PBC,0.0560,40,1,400,peak_spacing,,,,,no_estimate
PBC,0.0560,40,1,400,fft,160,,,no,too_few_cycles
OBC,0.0408,2,0,400,peak_spacing,34,3.7825,1.63701,no,ok
OBC,0.0408,2,0,400,fft,97,,,no,ok
OBC,0.0408,2,1,400,peak_spacing,39.5,2.66092,1.0889,no,ok
OBC,0.0408,2,1,400,fft,48.5,,,no,ok
OBC,0.0408,4,0,400,peak_spacing,52.5,2.53322,1.24375,no,ok
OBC,0.0408,4,0,400,fft,94,,,no,ok
OBC,0.0408,4,1,400,peak_spacing,55,2.12471,0.949432,no,ok
OBC,0.0408,4,1,400,fft,47,,,no,ok
OBC,0.0408,6,0,400,peak_spacing,81,2.56341,0.743205,no,ok
OBC,0.0408,6,0,400,fft,91,,,no,ok
OBC,0.0408,6,1,400,peak_spacing,90,1.78672,0.823486,no,ok
OBC,0.0408,6,1,400,fft,45.5,,,no,ok
OBC,0.0408,8,0,400,peak_spacing,84,1.98537,0.67646,no,ok
OBC,0.0408,8,0,400,fft,88,,,no,ok
OBC,0.0408,8,1,400,peak_spacing,89,1.23164,0.708157,no,ok
OBC,0.0408,8,1,400,fft,88,,,no,ok
OBC,0.0408,10,0,400,peak_spacing,87,1.5927,0.636794,no,ok
OBC,0.0408,10,0,400,fft,85,,,no,ok
OBC,0.0408,10,1,400,peak_spacing,122.5,1.10866,0.554187,no,ok
OBC,0.0408,10,1,400,fft,85,,,no,ok
OBC,0.0408,12,0,400,peak_spacing,90,1.26835,0.581056,no,ok
OBC,0.0408,12,0,400,fft,109.333,,,no,ok
OBC,0.0408,12,1,400,peak_spacing,122,0.814112,0.445461,no,ok
OBC,0.0408,12,1,400,fft,328,,,no,too_few_cycles
OBC,0.0408,15,0,400,peak_spacing,96,0.882879,0.523428,no,ok
OBC,0.0408,15,0,400,fft,103.333,,,no,ok
OBC,0.0408,15,1,400,peak_spacing,205,0.721014,0.22875,no,too_few_cycles
OBC,0.0408,15,1,400,fft,310,,,no,too_few_cycles
OBC,0.0408,20,0,400,peak_spacing,280,1.12899,0,no,too_few_cycles
OBC,0.0408,20,0,400,fft,93.3333,,,no,ok
OBC,0.0408,20,1,400,peak_spacing,201.5,0.384018,0.143615,yes,too_few_cycles
OBC,0.0408,20,1,400,fft,280,,,no,too_few_cycles
OBC,0.0408,25,0,400,peak_spacing,282,0.870197,0,no,too_few_cycles
OBC,0.0408,25,0,400,fft,125,,,no,ok
OBC,0.0408,25,1,400,peak_spacing,196,0.226947,0.104473,yes,too_few_cycles
OBC,0.0408,25,1,400,fft,250,,,no,too_few_cycles
OBC,0.0408,30,0,400,peak_spacing,290,0.773792,0,no,too_few_cycles
OBC,0.0408,30,0,400,fft,110,,,no,ok
OBC,0.0408,30,1,400,peak_spacing,188.5,0.147444,0.0888158,yes,too_few_cycles
OBC,0.0408,30,1,400,fft,220,,,no,too_few_cycles
OBC,0.0408,35,0,400,peak_spacing,288,0.667051,0,no,too_few_cycles
OBC,0.0408,35,0,400,fft,190,,,no,too_few_cycles
OBC,0.0408,35,1,400,peak_spacing,210,0.180363,0,yes,too_few_cycles
OBC,0.0408,35,1,400,fft,190,,,no,too_few_cycles
OBC,0.0408,40,0,400,peak_spacing,286,0.549042,0,yes,too_few_cycles
OBC,0.0408,40,0,400,fft,160,,,no,too_few_cycles
OBC,0.0408,40,1,400,peak_spacing,222,0.134969,0,yes,too_few_cycles
OBC,0.0408,40,1,400,fft,160,,,no,too_few_cycles
PBC,0.0408,2,0,400,peak_spacing,29,3.14247,1.32011,no,ok
PBC,0.0408,2,0,400,fft,25.8667,,,no,ok
PBC,0.0408,2,1,400,peak_spacing,34,3.39864,1.33637,no,ok
PBC,0.0408,2,1,400,fft,194,,,no,ok
PBC,0.0408,4,0,400,peak_spacing,48.5,2.33395,1.11682,no,ok
PBC,0.0408,4,0,400,fft,47,,,no,ok
PBC,0.0408,4,1,400,peak_spacing,63,2.98369,1.10643,no,ok
PBC,0.0408,4,1,400,fft,188,,,no,ok
PBC,0.0408,6,0,400,peak_spacing,66,1.87514,0.887475,no,ok
PBC,0.0408,6,0,400,fft,45.5,,,no,ok
PBC,0.0408,6,1,400,peak_spacing,60.5,1.94905,1.01549,no,ok
PBC,0.0408,6,1,400,fft,182,,,no,ok
PBC,0.0408,8,0,400,peak_spacing,66.5,1.27982,0.795522,yes,ok
PBC,0.0408,8,0,400,fft,352,,,no,too_few_cycles
PBC,0.0408,8,1,400,peak_spacing,76,1.95117,1.06908,no,ok
PBC,0.0408,8,1,400,fft,176,,,no,ok
PBC,0.0408,10,0,400,peak_spacing,98,1.23125,0.735883,yes,ok
PBC,0.0408,10,0,400,fft,340,,,no,too_few_cycles
PBC,0.0408,10,1,400,peak_spacing,167,2.15094,0.598402,no,ok
PBC,0.0408,10,1,400,fft,170,,,no,ok
PBC,0.0408,12,0,400,peak_spacing,196,1.60138,0.380262,no,too_few_cycles
PBC,0.0408,12,0,400,fft,328,,,no,too_few_cycles
PBC,0.0408,12,1,400,peak_spacing,165.5,1.80394,0.668297,no,too_few_cycles
PBC,0.0408,12,1,400,fft,164,,,no,ok
PBC,0.0408,15,0,400,peak_spacing,196,1.08943,0.436585,no,too_few_cycles
PBC,0.0408,15,0,400,fft,310,,,no,too_few_cycles
PBC,0.0408,15,1,400,peak_spacing,182,1.54953,0.75355,no,too_few_cycles
PBC,0.0408,15,1,400,fft,155,,,no,ok
PBC,0.0408,20,0,400,peak_spacing,300,0.98524,0,no,too_few_cycles
PBC,0.0408,20,0,400,fft,280,,,no,too_few_cycles
PBC,0.0408,20,1,400,peak_spacing,170,1.22522,0.744597,no,too_few_cycles
PBC,0.0408,20,1,400,fft,280,,,no,too_few_cycles
PBC,0.0408,25,0,400,peak_spacing,,,,,no_estimate
PBC,0.0408,25,0,400,fft,250,,,no,too_few_cycles
PBC,0.0408,25,1,400,peak_spacing,186,1.55769,0,no,too_few_cycles
